regionCode,period,population
1,1 de julio de 2020,8482705
2,1 de julio de 2020,1331316
3,1 de julio de 2020,1015425
4,1 de julio de 2020,1215174
5,1 de julio de 2020,2244480
6,1 de julio de 2020,582353
7,1 de julio de 2020,2391308
8,1 de julio de 2020,2043128
9,1 de julio de 2020,7655499
10,1 de julio de 2020,5036278
11,1 de julio de 2020,1059310
12,1 de julio de 2020,2698718
13,1 de julio de 2020,6755609
14,1 de julio de 2020,1509139
15,1 de julio de 2020,657216
16,1 de julio de 2020,2189490
17,1 de julio de 2020,316137
18,1 de julio de 2020,83999
19,1 de julio de 2020,84284
