id,countryCode,month,year,regionCode,numberVisitors
drv_1,es,2,2021,1,28661
drv_2,es,1,2021,1,49716
drv_3,es,12,2020,1,60577
drv_4,es,11,2020,1,49227
drv_5,es,10,2020,1,143378
drv_6,es,9,2020,1,179214
drv_7,es,8,2020,1,364111
drv_8,es,7,2020,1,359725
drv_9,es,6,2020,1,14183
drv_10,es,5,2020,1,0
drv_11,es,4,2020,1,0
drv_12,es,3,2020,1,302928
drv_13,es,2,2020,1,626653
drv_14,es,1,2020,1,605451
drv_15,es,12,2019,1,557861
drv_16,es,11,2019,1,614169
drv_17,es,10,2019,1,1191120
drv_18,es,9,2019,1,1375342
drv_19,es,8,2019,1,1403701
drv_20,es,7,2019,1,1256656
drv_21,es,6,2019,1,1243394
drv_22,es,5,2019,1,1204749
drv_23,es,4,2019,1,1131483
drv_24,es,3,2019,1,842934
drv_25,es,2,2019,1,626983
drv_26,es,1,2019,1,574761
drv_27,es,12,2018,1,552595
drv_28,es,11,2018,1,604357
drv_29,es,10,2018,1,1140163
drv_30,es,9,2018,1,1319350
drv_31,es,8,2018,1,1424410
drv_32,es,7,2018,1,1327577
drv_33,es,6,2018,1,1168948
drv_34,es,5,2018,1,1193716
drv_35,es,4,2018,1,1044566
drv_36,es,3,2018,1,787749
drv_37,es,2,2018,1,579798
drv_38,es,1,2018,1,538026
drv_39,es,12,2017,1,510486
drv_40,es,11,2017,1,569632
drv_41,es,10,2017,1,1119427
drv_42,es,9,2017,1,1327059
drv_43,es,8,2017,1,1422593
drv_44,es,7,2017,1,1356267
drv_45,es,6,2017,1,1164980
drv_46,es,5,2017,1,1176002
drv_47,es,4,2017,1,1044661
drv_48,es,3,2017,1,720603
drv_49,es,2,2017,1,584543
drv_50,es,1,2017,1,522009
drv_51,es,12,2016,1,495562
drv_52,es,11,2016,1,548318
drv_53,es,10,2016,1,1094199
drv_54,es,9,2016,1,1117892
drv_55,es,8,2016,1,1374753
drv_56,es,7,2016,1,1211907
drv_57,es,6,2016,1,1057266
drv_58,es,5,2016,1,1091989
drv_59,es,4,2016,1,967258
drv_60,es,3,2016,1,683760
drv_61,es,2,2016,1,493279
drv_62,es,1,2016,1,453459
drv_63,es,12,2015,1,446806
drv_64,es,11,2015,1,487964
drv_65,es,10,2015,1,996515
drv_66,es,2,2021,4,13149
drv_67,es,1,2021,4,15166
drv_68,es,12,2020,4,22083
drv_69,es,11,2020,4,20102
drv_70,es,10,2020,4,84139
drv_71,es,9,2020,4,119279
drv_72,es,8,2020,4,453794
drv_73,es,7,2020,4,588431
drv_74,es,6,2020,4,28382
drv_75,es,5,2020,4,0
drv_76,es,4,2020,4,0
drv_77,es,3,2020,4,116018
drv_78,es,2,2020,4,185554
drv_79,es,1,2020,4,103772
drv_80,es,12,2019,4,124847
drv_81,es,11,2019,4,182713
drv_82,es,10,2019,4,1224498
drv_83,es,9,2019,4,2006475
drv_84,es,8,2019,4,2256991
drv_85,es,7,2019,4,2344094
drv_86,es,6,2019,4,2065353
drv_87,es,5,2019,4,1701167
drv_88,es,4,2019,4,1081557
drv_89,es,3,2019,4,365813
drv_90,es,2,2019,4,184351
drv_91,es,1,2019,4,141922
drv_92,es,12,2018,4,183329
drv_93,es,11,2018,4,188018
drv_94,es,10,2018,4,1284111
drv_95,es,9,2018,4,2031600
drv_96,es,8,2018,4,2297469
drv_97,es,7,2018,4,2429816
drv_98,es,6,2018,4,2121434
drv_99,es,5,2018,4,1708101
drv_100,es,4,2018,4,930679
drv_101,es,3,2018,4,401293
drv_102,es,2,2018,4,156311
drv_103,es,1,2018,4,119437
drv_104,es,12,2017,4,99275
drv_105,es,11,2017,4,177426
drv_106,es,10,2017,4,1256543
drv_107,es,9,2017,4,2009288
drv_108,es,8,2017,4,2352198
drv_109,es,7,2017,4,2484880
drv_110,es,6,2017,4,2101520
drv_111,es,5,2017,4,1717352
