id,countryCode,month,year,lengthStay,numberVisitors,annualAccumulated
lsv_1,es,2,2021,0,517840,1330494
lsv_2,es,1,2021,0,812654,812654
lsv_3,es,12,2020,0,925024,17520183
lsv_4,es,11,2020,0,543456,16595159
lsv_5,es,10,2020,0,1660797,16051703
lsv_6,es,9,2020,0,1876475,14390906
lsv_7,es,8,2020,0,2914682,12514431
lsv_8,es,7,2020,0,2298504,9599749
lsv_9,es,6,2020,0,451744,7301245
lsv_10,es,5,2020,0,0,6849501
lsv_11,es,4,2020,0,0,6849501
lsv_12,es,3,2020,0,1373125,6849501
lsv_13,es,2,2020,0,2747071,5471837
lsv_14,es,1,2020,0,2724766,2724766
lsv_15,es,12,2019,0,3030820,42660933
lsv_16,es,11,2019,0,2951121,39630113
lsv_17,es,10,2019,0,3446798,36678992
lsv_18,es,9,2019,0,3853727,33232194
lsv_19,es,8,2019,0,6037523,29378466
lsv_20,es,7,2019,0,4661668,23340944
lsv_21,es,6,2019,0,3472062,18679276
lsv_22,es,5,2019,0,3444505,15207214
lsv_23,es,4,2019,0,3575857,11762709
lsv_24,es,3,2019,0,2993591,8186851
lsv_25,es,2,2019,0,2604236,5193260
lsv_26,es,1,2019,0,2589024,2589024
lsv_27,es,12,2018,0,2876655,41647253
lsv_28,es,11,2018,0,2704136,38770598
lsv_29,es,10,2018,0,3503605,36066462
lsv_30,es,9,2018,0,3871312,32562857
lsv_31,es,8,2018,0,5946015,28691545
lsv_32,es,7,2018,0,4745861,22745530
lsv_33,es,6,2018,0,3226426,17999669
lsv_34,es,5,2018,0,3537970,14773242
lsv_35,es,4,2018,0,3521161,11235272
lsv_36,es,3,2018,0,2933123,7714111
lsv_37,es,2,2018,0,2397715,4780988
lsv_38,es,1,2018,0,2383273,2383273
lsv_39,es,12,2017,0,2955243,39848764
lsv_40,es,11,2017,0,2581046,36893521
lsv_41,es,10,2017,0,3265883,34312476
lsv_42,es,9,2017,0,3497692,31046593
lsv_43,es,8,2017,0,5437784,27548901
lsv_44,es,7,2017,0,4628058,22111117
lsv_45,es,6,2017,0,3053304,17483059
lsv_46,es,5,2017,0,3435625,14429755
lsv_47,es,4,2017,0,3579358,10994130
lsv_48,es,3,2017,0,2638526,7414772
lsv_49,es,2,2017,0,2481208,4776246
lsv_50,es,1,2017,0,2295038,2295038
lsv_51,es,12,2016,0,2888607,40246069
lsv_52,es,11,2016,0,2524873,37357461
lsv_53,es,10,2016,0,3101225,34832589
lsv_54,es,9,2016,0,3398967,31731364
lsv_55,es,8,2016,0,5738256,28332397
lsv_56,es,7,2016,0,4557454,22594141
lsv_57,es,6,2016,0,3330206,18036687
lsv_58,es,5,2016,0,3298143,14706481
lsv_59,es,4,2016,0,3168124,11408338
lsv_60,es,3,2016,0,3057296,8240214
lsv_61,es,2,2016,0,2576136,5182917
lsv_62,es,1,2016,0,2606782,2606782
lsv_63,es,12,2015,0,2904724, 
lsv_64,es,11,2015,0,2674826, 
lsv_65,es,10,2015,0,3508624, 
lsv_66,es,2,2021,1,42027,99171
lsv_67,es,1,2021,1,57144,57144
lsv_68,es,12,2020,1,95266,1313199
lsv_69,es,11,2020,1,44243,1217933
lsv_70,es,10,2020,1,107779,1173690
lsv_71,es,9,2020,1,142633,1065911
lsv_72,es,8,2020,1,157353,923278
lsv_73,es,7,2020,1,129511,765925
lsv_74,es,6,2020,1,19432,636414
lsv_75,es,5,2020,1,0,616982
lsv_76,es,4,2020,1,0,616982
lsv_77,es,3,2020,1,116649,616982
lsv_78,es,2,2020,1,242938,496724
lsv_79,es,1,2020,1,253786,253786
lsv_80,es,12,2019,1,275207,4220546
lsv_81,es,11,2019,1,283798,3945339
lsv_82,es,10,2019,1,417643,3661542
lsv_83,es,9,2019,1,419149,3243899
lsv_84,es,8,2019,1,544183,2824750
lsv_85,es,7,2019,1,434059,2280567
lsv_86,es,6,2019,1,352087,1846507
lsv_87,es,5,2019,1,354440,1494420
lsv_88,es,4,2019,1,330786,1139980
lsv_89,es,3,2019,1,313847,809194
lsv_90,es,2,2019,1,278743,495347
lsv_91,es,1,2019,1,216604,216604
lsv_92,es,12,2018,1,279465,4415509
lsv_93,es,11,2018,1,244307,4136044
lsv_94,es,10,2018,1,373807,3891737
lsv_95,es,9,2018,1,464891,3517930
lsv_96,es,8,2018,1,565160,3053039
lsv_97,es,7,2018,1,527110,2487879
lsv_98,es,6,2018,1,426197,1960768
lsv_99,es,5,2018,1,421543,1534572
lsv_100,es,4,2018,1,360119,1113029
lsv_101,es,3,2018,1,284296,752909
lsv_102,es,2,2018,1,258291,468613
lsv_103,es,1,2018,1,210323,210323
lsv_104,es,12,2017,1,245727,4078375
lsv_105,es,11,2017,1,264013,3832648
lsv_106,es,10,2017,1,325822,3568635
lsv_107,es,9,2017,1,436875,3242813
lsv_108,es,8,2017,1,584899,2805938
lsv_109,es,7,2017,1,520723,2221038
lsv_110,es,6,2017,1,368691,1700316
lsv_111,es,5,2017,1,376459,1331625
lsv_112,es,4,2017,1,319093,955166
lsv_113,es,3,2017,1,239842,636073
lsv_114,es,2,2017,1,197649,396231
lsv_115,es,1,2017,1,198582,198582
lsv_116,es,12,2016,1,255492,3525195
lsv_117,es,11,2016,1,251217,3269704
lsv_118,es,10,2016,1,286759,3018486
lsv_119,es,9,2016,1,363772,2731727
lsv_120,es,8,2016,1,634603,2367955
