regionCode,name,countryCode,area,latitude,longitude
1,Andalusia,es,87599,37.5,-4.58333
2,Aragon,es,47720,41.5,-0.66667
3,Asturias,es,10604,43.33333,-6
4,Balearic  Islands,es,4992,39.58876,2.90314
5,Canary Islands,es,7447,28,-15.5
6,Cantabria,es,5321,43.2,-4.03333
7,Castille and Lion,es,94224,41.66667,-4.25
8,Castille-La Mancha,es,79461,39.5,-3
9,Catalonia,es,32113,41.82046,1.86768
10,Valencia,es,23255,39.5,-0.75
11,Extremadura,es,41634,39.16667,-6.16667
12,Galicia,es,29575,42.75508,-7.86621
13,Madrid,es,8028,40.42526,-3.69063
14,Murcia,es,11314,38,-1.5
15,Navarre,es,10391,42.75,-1.66667
16,Basque Country,es,7234,43,-2.75
17,La Rioja,es,5045,42.3,-2.5
18,Ceuta,es,20,35.89028,-5.3075
19,Melilla,es,12,35.29215,-2.94434
